task,method,metric,parameter,levels,observations,effect_range,relative_effect,best_level,best_level_mean
ner,lm-subword,f_score,lm_top_split,3,12,0.0260946840065,0.364449285316,3,0.562748015603
ner,lm-subword,f_score,lm_skip,3,12,0.0145377748278,0.20304065168,2,0.561041495975
ner,lm-syllable,f_score,lm_window_length,3,9,0.000620913976327,0.00409078650288,2,0.590127284085
ner,lm-syllable,f_score,lm_slide_length,3,9,0.000620913976327,0.00409078650288,2,0.590127284085
ner,lm-syllable,f_score,lm_top_split,3,9,0.14327249655,0.943926562241,1,0.679453540752
ner,lm-syllable,f_score,lm_skip,3,9,0.000620913976327,0.00409078650288,2,0.590127284085
pos,frequent-ngram,f_score,lm_window_length,3,9,0.00548199440727,0.258077553127,2,0.473872734116
pos,frequent-ngram,f_score,lm_slide_length,3,9,0.00548199440727,0.258077553127,2,0.473872734116
pos,frequent-ngram,f_score,lm_top_split,3,9,0.00928346376789,0.437040506751,1,0.47472658925
pos,frequent-ngram,f_score,lm_skip,3,9,0.00548199440727,0.258077553127,2,0.473872734116
pos,lm-lemma,f_score,lm_window_length,3,28,0.00668763419507,0.21314174906,4,0.631020526362
pos,lm-lemma,f_score,lm_slide_length,3,28,0.00668763419507,0.21314174906,4,0.631020526362
pos,lm-lemma,f_score,lm_top_split,3,28,0.00380193696195,0.121171623664,1,0.627200357003
pos,lm-lemma,f_score,lm_skip,3,28,0.00668763419507,0.21314174906,4,0.631020526362
pos,lm-lemma,f_score,lm_likelihood_weight,5,28,0.00375165698492,0.119569149316,0.3,0.626953565352
pos,lm-lemma,f_score,lm_prior_weight,5,28,0.00375165698492,0.119569149316,0.7,0.626953565352
pos,lm-lemma,f_score,lm_length_penalty,4,28,0.00306039692091,0.0975379833156,inverse_sqrt_parts,0.627524237673
pos,lm-rank,f_score,lm_window_length,3,28,0.0140217507136,0.157895776974,4,0.589682002084
pos,lm-rank,f_score,lm_slide_length,3,28,0.0140217507136,0.157895776974,4,0.589682002084
pos,lm-rank,f_score,lm_top_split,3,28,0.0467806855922,0.526786765062,1,0.618949148261
pos,lm-rank,f_score,lm_skip,3,28,0.0140217507136,0.157895776974,4,0.589682002084
pos,lm-rank,f_score,lm_likelihood_weight,5,28,0.0346112067117,0.389749004054,0.05,0.586902226436
pos,lm-rank,f_score,lm_prior_weight,5,28,0.0346112067117,0.389749004054,0.95,0.586902226436
pos,lm-rank,f_score,lm_length_penalty,4,28,0.0124938560889,0.140690499699,none,0.582817963011
pos,lm-subword,f_score,lm_window_length,3,12,0.00839038011512,0.103616594375,4,0.601344005235
pos,lm-subword,f_score,lm_slide_length,3,12,0.00839038011512,0.103616594375,4,0.601344005235
pos,lm-subword,f_score,lm_top_split,3,12,0.0678492722411,0.837901313646,1,0.635765338602
pos,lm-subword,f_score,lm_skip,3,12,0.00839038011512,0.103616594375,4,0.601344005235
pos,lm-syllable,f_score,lm_window_length,3,9,0.00949948855678,0.141542627544,2,0.597610308809
pos,lm-syllable,f_score,lm_slide_length,3,9,0.00949948855678,0.141542627544,2,0.597610308809
pos,lm-syllable,f_score,lm_top_split,3,9,0.0565341075528,0.842359678739,1,0.630076057845
pos,lm-syllable,f_score,lm_skip,3,9,0.00949948855678,0.141542627544,2,0.597610308809
sentiment,frequent-ngram,f_score,lm_window_length,3,9,0.012662330508,0.371689917874,2,0.57297793125
sentiment,frequent-ngram,f_score,lm_slide_length,3,9,0.012662330508,0.371689917874,2,0.57297793125
sentiment,frequent-ngram,f_score,lm_top_split,3,9,0.00676950639326,0.198712020174,5,0.569961125731
sentiment,frequent-ngram,f_score,lm_skip,3,9,0.012662330508,0.371689917874,2,0.57297793125
sentiment,lm-lemma,f_score,lm_window_length,3,28,0.00616296100141,0.152156971271,3,0.628234003226
sentiment,lm-lemma,f_score,lm_slide_length,3,28,0.00616296100141,0.152156971271,3,0.628234003226
sentiment,lm-lemma,f_score,lm_top_split,3,28,0.0190448945323,0.470198248787,1,0.633060700887
sentiment,lm-lemma,f_score,lm_skip,3,28,0.00616296100141,0.152156971271,3,0.628234003226
sentiment,lm-lemma,f_score,lm_likelihood_weight,5,28,0.00931945709713,0.230087512393,0.0,0.633818554671
sentiment,lm-lemma,f_score,lm_prior_weight,5,28,0.00931945709713,0.230087512393,1.0,0.633818554671
sentiment,lm-lemma,f_score,lm_length_penalty,4,28,0.0103697911239,0.256019145629,inverse_sqrt_parts,0.634218702699
sentiment,lm-rank,f_score,lm_window_length,3,28,0.0109328137018,0.220765805529,4,0.618351564412
sentiment,lm-rank,f_score,lm_slide_length,3,28,0.0109328137018,0.220765805529,4,0.618351564412
sentiment,lm-rank,f_score,lm_top_split,3,28,0.00766375830371,0.154753919846,1,0.615331730069
sentiment,lm-rank,f_score,lm_skip,3,28,0.0109328137018,0.220765805529,4,0.618351564412
sentiment,lm-rank,f_score,lm_likelihood_weight,5,28,0.010442248467,0.210859844249,0.05,0.615926811445
sentiment,lm-rank,f_score,lm_prior_weight,5,28,0.010442248467,0.210859844249,0.95,0.615926811445
sentiment,lm-rank,f_score,lm_length_penalty,4,28,0.0168349948631,0.339948278953,inverse_log_parts,0.617852344893
sentiment,lm-skip,f_score,lm_window_length,3,9,0.0143716365523,0.182881855291,3,0.639695227645
sentiment,lm-skip,f_score,lm_slide_length,3,9,0.0143716365523,0.182881855291,3,0.639695227645
sentiment,lm-skip,f_score,lm_top_split,3,9,0.0506374441214,0.644371272152,1,0.663860313327
sentiment,lm-skip,f_score,lm_skip,3,9,0.0143716365523,0.182881855291,3,0.639695227645
sentiment,lm-subword,f_score,lm_window_length,3,12,0.00902505682253,0.128411766032,4,0.63081818675
sentiment,lm-subword,f_score,lm_slide_length,3,12,0.00902505682253,0.128411766032,4,0.63081818675
sentiment,lm-subword,f_score,lm_top_split,3,12,0.0546788377886,0.777990240184,1,0.661575680129
sentiment,lm-subword,f_score,lm_skip,3,12,0.00902505682253,0.128411766032,4,0.63081818675
sentiment,lm-syllable,f_score,lm_window_length,3,9,0.00887393813673,0.155553205755,2,0.633572971928
sentiment,lm-syllable,f_score,lm_slide_length,3,9,0.00887393813673,0.155553205755,2,0.633572971928
sentiment,lm-syllable,f_score,lm_top_split,3,9,0.0431193948252,0.755849318749,1,0.654121814405
sentiment,lm-syllable,f_score,lm_skip,3,9,0.00887393813673,0.155553205755,2,0.633572971928
