variant_id,task,method,lm_window_length,lm_slide_length,lm_top_split,lm_skip,lm_stem_length,lm_prune,lm_likelihood_weight,lm_prior_weight,lm_length_penalty,corpus_filename,result_filename,accuracy,f1,status,source_csv,precision,recall,f_score,resolved_result_file,metric_source
v2,analogy,lm-lemma,2,2,3,2,7,100,0.15,0.85,none,resources/text//intrinsic/-1392568951.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-2-1319373165.xml,0.0298796216681,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2202530.10704,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-2-1319373165.xml,result_file
v3,analogy,lm-lemma,2,2,5,2,7,100,0.15,0.85,none,resources/text//intrinsic/-1392568265.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-2-979060041.xml,0.0299512754371,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2208362.58609,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-2-979060041.xml,result_file
v4,analogy,lm-lemma,3,3,1,3,7,100,0.15,0.85,none,resources/text//intrinsic/-1392567180.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--1356064381.xml,0.030381198051,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2268142.06758,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--1356064381.xml,result_file
v5,analogy,lm-lemma,3,3,3,3,7,100,0.15,0.85,none,resources/text//intrinsic/-1392566494.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--1696377505.xml,0.0317426196618,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2325084.23434,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--1696377505.xml,result_file
v6,analogy,lm-lemma,3,3,5,3,7,100,0.15,0.85,none,resources/text//intrinsic/-1392565808.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--2036690629.xml,0.0310260819719,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2305233.22914,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--2036690629.xml,result_file
v7,analogy,lm-lemma,4,4,1,4,7,100,0.15,0.85,none,resources/text//intrinsic/-1392564723.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-4--76847755.xml,0.030739466896,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2181106.44319,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-4--76847755.xml,result_file
v8,analogy,lm-lemma,4,4,3,4,7,100,0.15,0.85,none,resources/text//intrinsic/-1392564037.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-4--417160879.xml,0.03045285182,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2110385.36503,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-4--417160879.xml,result_file
v9,analogy,lm-lemma,4,4,5,4,7,100,0.15,0.85,none,resources/text//intrinsic/-1392563351.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-4--757474003.xml,0.0308827744339,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2174198.72136,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-4--757474003.xml,result_file
v10,analogy,lm-lemma,3,3,3,3,7,100,0.0,1.0,none,resources/text//intrinsic/-2079644288.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1242594459.xml,0.0312410432789,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2370238.49742,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1242594459.xml,result_file
v11,analogy,lm-lemma,3,3,3,3,7,100,0.0,1.0,inverse_parts,resources/text//intrinsic/-1747506257.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1922520633.xml,0.0317426196618,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2337865.74989,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1922520633.xml,result_file
v12,analogy,lm-lemma,3,3,3,3,7,100,0.0,1.0,inverse_sqrt_parts,resources/text//intrinsic/1689808136.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1599431083.xml,0.0315276583548,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2387839.32243,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1599431083.xml,result_file
v13,analogy,lm-lemma,3,3,3,3,7,100,0.0,1.0,inverse_log_parts,resources/text//intrinsic/1363077970.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--977129025.xml,0.0325308111207,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2248652.69941,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--977129025.xml,result_file
v14,analogy,lm-lemma,3,3,3,3,7,100,0.05,0.95,none,resources/text//intrinsic/941152357.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--1305666523.xml,0.0315993121238,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2423340.05039,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--1305666523.xml,result_file
v15,analogy,lm-lemma,3,3,3,3,7,100,0.05,0.95,inverse_parts,resources/text//intrinsic/1273290388.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--625740349.xml,0.0317426196618,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2368754.59284,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--625740349.xml,result_file
v16,analogy,lm-lemma,3,3,3,3,7,100,0.05,0.95,inverse_sqrt_parts,resources/text//intrinsic/415637485.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--948829899.xml,0.030667813127,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2342327.28096,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--948829899.xml,result_file
v17,analogy,lm-lemma,3,3,3,3,7,100,0.05,0.95,inverse_log_parts,resources/text//intrinsic/88907319.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-769577289.xml,0.0323875035827,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2317651.48202,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-769577289.xml,result_file
v18,analogy,lm-lemma,3,3,3,3,7,100,0.15,0.85,inverse_parts,resources/text//intrinsic/2119117743.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1770477113.xml,0.030524505589,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2286276.86672,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1770477113.xml,result_file
v19,analogy,lm-lemma,3,3,3,3,7,100,0.15,0.85,inverse_sqrt_parts,resources/text//intrinsic/1261464840.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1447387563.xml,0.0320292347377,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2353200.74713,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1447387563.xml,result_file
v20,analogy,lm-lemma,3,3,3,3,7,100,0.15,0.85,inverse_log_parts,resources/text//intrinsic/934734674.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--1129172545.xml,0.0308827744339,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2471334.70842,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--1129172545.xml,result_file
v21,analogy,lm-lemma,3,3,3,3,7,100,0.3,0.7,none,resources/text//intrinsic/-1782897280.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--781157221.xml,0.0314560045858,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2361867.43464,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--781157221.xml,result_file
v22,analogy,lm-lemma,3,3,3,3,7,100,0.3,0.7,inverse_parts,resources/text//intrinsic/-1450759249.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--101231047.xml,0.0311693895099,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2428059.98563,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--101231047.xml,result_file
v23,analogy,lm-lemma,3,3,3,3,7,100,0.3,0.7,inverse_sqrt_parts,resources/text//intrinsic/1986555144.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--424320597.xml,0.0321725422757,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2399729.74451,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--424320597.xml,result_file
v24,analogy,lm-lemma,3,3,3,3,7,100,0.3,0.7,inverse_log_parts,resources/text//intrinsic/1659824978.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1294086591.xml,0.0310977357409,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2295770.87708,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1294086591.xml,result_file
v25,analogy,lm-lemma,3,3,3,3,7,100,0.5,0.5,none,resources/text//intrinsic/-1189403264.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--533693285.xml,0.0310977357409,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2254452.95095,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--533693285.xml,result_file
v26,analogy,lm-lemma,3,3,3,3,7,100,0.5,0.5,inverse_parts,resources/text//intrinsic/-857265233.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-146232889.xml,0.0326024648897,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2425076.04129,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-146232889.xml,result_file
v27,analogy,lm-lemma,3,3,3,3,7,100,0.5,0.5,inverse_sqrt_parts,resources/text//intrinsic/-1714918136.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3--176856661.xml,0.0308111206649,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2364670.86046,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3--176856661.xml,result_file
v28,analogy,lm-lemma,3,3,3,3,7,100,0.5,0.5,inverse_log_parts,resources/text//intrinsic/-2041648302.txt,resources/results/skip/lm-lemma/intrinsic/skip//240-3-1541550527.xml,0.0317426196618,,found,resources/results/reviewer1/comment1-analogy-lm-lemma.csv,,,2368851.95962,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-lemma/intrinsic/skip/240-3-1541550527.xml,result_file
v1,analogy,lm-rank,2,2,1,2,7,100,0.15,0.85,none,resources/text//intrinsic/249431159.txt,resources/results/skip/lm-rank/intrinsic/skip//240-2--1826068211.xml,0.000143307537976,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,732253.847446,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-2--1826068211.xml,result_file
v2,analogy,lm-rank,2,2,3,2,7,100,0.15,0.85,none,resources/text//intrinsic/249431845.txt,resources/results/skip/lm-rank/intrinsic/skip//240-2-2128585961.xml,0.000644883920894,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0384814901893,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-2-2128585961.xml,result_file
v3,analogy,lm-rank,2,2,5,2,7,100,0.15,0.85,none,resources/text//intrinsic/249432531.txt,resources/results/skip/lm-rank/intrinsic/skip//240-2-1788272837.xml,0.00186299799369,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0384216177567,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-2-1788272837.xml,result_file
v4,analogy,lm-rank,3,3,1,3,7,100,0.15,0.85,none,resources/text//intrinsic/249433616.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--546851585.xml,0.000143307537976,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,727136.073811,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--546851585.xml,result_file
v5,analogy,lm-rank,3,3,3,3,7,100,0.15,0.85,none,resources/text//intrinsic/249434302.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--887164709.xml,0.000214961306965,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0325848048024,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--887164709.xml,result_file
v6,analogy,lm-rank,3,3,5,3,7,100,0.15,0.85,none,resources/text//intrinsic/249434988.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--1227477833.xml,0.00150472914875,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0349060855424,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--1227477833.xml,result_file
v7,analogy,lm-rank,4,4,1,4,7,100,0.15,0.85,none,resources/text//intrinsic/249436073.txt,resources/results/skip/lm-rank/intrinsic/skip//240-4-732365041.xml,0.000214961306965,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,789031.307709,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-4-732365041.xml,result_file
v8,analogy,lm-rank,4,4,3,4,7,100,0.15,0.85,none,resources/text//intrinsic/249436759.txt,resources/results/skip/lm-rank/intrinsic/skip//240-4-392051917.xml,0.000859845227859,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.033965744993,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-4-392051917.xml,result_file
v9,analogy,lm-rank,4,4,5,4,7,100,0.15,0.85,none,resources/text//intrinsic/249437445.txt,resources/results/skip/lm-rank/intrinsic/skip//240-4-51738793.xml,0.000788191458871,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0321462266976,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-4-51738793.xml,result_file
v10,analogy,lm-rank,3,3,3,3,7,100,0.0,1.0,none,resources/text//intrinsic/-437643492.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-2051807255.xml,0.000429922613929,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0471062885281,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-2051807255.xml,result_file
v11,analogy,lm-rank,3,3,3,3,7,100,0.0,1.0,inverse_parts,resources/text//intrinsic/-105505461.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--1563233867.xml,0.000358268844941,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.046974405341,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--1563233867.xml,result_file
v12,analogy,lm-rank,3,3,3,3,7,100,0.0,1.0,inverse_sqrt_parts,resources/text//intrinsic/-963158364.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--1886323417.xml,0.000501576382918,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0471126425752,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--1886323417.xml,result_file
v13,analogy,lm-rank,3,3,3,3,7,100,0.0,1.0,inverse_log_parts,resources/text//intrinsic/-1289888530.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--167916229.xml,0.000573230151906,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.046991927423,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--167916229.xml,result_file
v14,analogy,lm-rank,3,3,3,3,7,100,0.05,0.95,none,resources/text//intrinsic/-1711814143.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--496453727.xml,0.000214961306965,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0333919545912,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--496453727.xml,result_file
v15,analogy,lm-rank,3,3,3,3,7,100,0.05,0.95,inverse_parts,resources/text//intrinsic/-1379676112.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-183472447.xml,0.000429922613929,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0333025551991,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-183472447.xml,result_file
v16,analogy,lm-rank,3,3,3,3,7,100,0.05,0.95,inverse_sqrt_parts,resources/text//intrinsic/2057638281.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--139617103.xml,0.000429922613929,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0328850789624,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--139617103.xml,result_file
v17,analogy,lm-rank,3,3,3,3,7,100,0.05,0.95,inverse_log_parts,resources/text//intrinsic/1730908115.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-1578790085.xml,0.000429922613929,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0335247085059,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-1578790085.xml,result_file
v18,analogy,lm-rank,3,3,3,3,7,100,0.15,0.85,inverse_parts,resources/text//intrinsic/-533848757.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--1715277387.xml,0.000358268844941,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0327811549974,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--1715277387.xml,result_file
v19,analogy,lm-rank,3,3,3,3,7,100,0.15,0.85,inverse_sqrt_parts,resources/text//intrinsic/-1391501660.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--2038366937.xml,0.000358268844941,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0327825388707,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--2038366937.xml,result_file
v20,analogy,lm-rank,3,3,3,3,7,100,0.15,0.85,inverse_log_parts,resources/text//intrinsic/-1718231826.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--319959749.xml,0.000358268844941,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0327309072057,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--319959749.xml,result_file
v21,analogy,lm-rank,3,3,3,3,7,100,0.3,0.7,none,resources/text//intrinsic/-140896484.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-28055575.xml,0.000644883920894,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0335991126411,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-28055575.xml,result_file
v22,analogy,lm-rank,3,3,3,3,7,100,0.3,0.7,inverse_parts,resources/text//intrinsic/191241547.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-707981749.xml,0.000644883920894,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0335436397603,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-707981749.xml,result_file
v23,analogy,lm-rank,3,3,3,3,7,100,0.3,0.7,inverse_sqrt_parts,resources/text//intrinsic/-666411356.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-384892199.xml,0.000644883920894,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0335580999312,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-384892199.xml,result_file
v24,analogy,lm-rank,3,3,3,3,7,100,0.3,0.7,inverse_log_parts,resources/text//intrinsic/-993141522.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-2103299387.xml,0.000788191458871,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0336738567092,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-2103299387.xml,result_file
v25,analogy,lm-rank,3,3,3,3,7,100,0.5,0.5,none,resources/text//intrinsic/452597532.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-275519511.xml,0.000644883920894,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0354561155306,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-275519511.xml,result_file
v26,analogy,lm-rank,3,3,3,3,7,100,0.5,0.5,inverse_parts,resources/text//intrinsic/784735563.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-955445685.xml,0.000716537689882,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0353868100956,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-955445685.xml,result_file
v27,analogy,lm-rank,3,3,3,3,7,100,0.5,0.5,inverse_sqrt_parts,resources/text//intrinsic/-72917340.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3-632356135.xml,0.000859845227859,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0354913212466,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3-632356135.xml,result_file
v28,analogy,lm-rank,3,3,3,3,7,100,0.5,0.5,inverse_log_parts,resources/text//intrinsic/-399647506.txt,resources/results/skip/lm-rank/intrinsic/skip//240-3--1944203973.xml,0.000859845227859,,found,resources/results/reviewer1/comment1-analogy-lm-rank.csv,,,0.0354357752545,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-rank/intrinsic/skip/240-3--1944203973.xml,result_file
v1,analogy,lm-skip,2,2,1,2,7,100,0.15,0.85,none,resources/text//intrinsic/249470410.txt,resources/results/skip/lm-skip/intrinsic/skip//240-2-1110150456.xml,0.000143307537976,,found,resources/results/reviewer1/comment1-analogy-lm-skip.csv,,,2695025.76269,/run/media/wolf/KIOXIA/SentencePartitioning/resources/results/skip/lm-skip/intrinsic/skip/240-2-1110150456.xml,result_file
